outbound_departure_airport;outbound_arrival_airport;outbound_departure_time;outbound_arrival_time;inbound_departure_airport;inbound_arrival_airport;inbound_departure_time;inbound_arrival_time;total_price;taxes
NBO;MBA;Sun Jan 30 08:00:00 GTM 2022;Sun Jan 30 09:10:00 GTM 2022;MBA;NBO;Sun Feb 06 20:20:00 GTM 2022;Sun Feb 06 21:30:00 GTM 2022;93.00;12.00
NBO;MBA;Sun Jan 30 18:40:00 GTM 2022;Sun Jan 30 19:50:00 GTM 2022;MBA;NBO;Sun Feb 06 20:20:00 GTM 2022;Sun Feb 06 21:30:00 GTM 2022;96.00;12.00
NBO;MBA;Wed Feb 09 06:00:00 GTM 2022;Wed Feb 09 07:10:00 GTM 2022;MBA;NBO;Wed Feb 16 07:30:00 GTM 2022;Wed Feb 16 08:40:00 GTM 2022;87.00;12.00
NBO;MBA;Wed Feb 09 06:00:00 GTM 2022;Wed Feb 09 07:10:00 GTM 2022;MBA;NBO;Wed Feb 16 20:20:00 GTM 2022;Wed Feb 16 21:30:00 GTM 2022;87.00;12.00
NBO;MBA;Wed Feb 09 18:40:00 GTM 2022;Wed Feb 09 19:50:00 GTM 2022;MBA;NBO;Wed Feb 16 07:30:00 GTM 2022;Wed Feb 16 08:40:00 GTM 2022;84.00;12.00
NBO;MBA;Wed Feb 09 18:40:00 GTM 2022;Wed Feb 09 19:50:00 GTM 2022;MBA;NBO;Wed Feb 16 20:20:00 GTM 2022;Wed Feb 16 21:30:00 GTM 2022;84.00;12.00
